11/05/22-22:43|INFO   |*** testing student 'xtertk02' ***
11/05/22-22:43|INFO   |testing done
11/05/22-22:43|INFO   |*** testing student 'xvefal02' ***
11/05/22-22:43|INFO   |testing done
11/05/22-22:43|INFO   |*** testing student 'xyfhtr00' ***
11/05/22-22:43|INFO   |testing done
11/05/22-22:43|INFO   |testing all students done !!
12/05/22-00:05|INFO   |*** testing student 'xkdqjw00' ***
12/05/22-00:05|INFO   |cleaning tests results...
12/05/22-00:05|INFO   |preparing data for testing...
12/05/22-00:05|INFO   |creating docker container...
12/05/22-00:05|INFO   |running testsuite...
12/05/22-00:05|INFO   |getting results from tests...
12/05/22-00:05|INFO   |testing successfully done
12/05/22-00:06|INFO   |file 'scoring' saved
12/05/22-00:06|INFO   |*** testing student 'xkdqjw00' ***
12/05/22-00:06|INFO   |cleaning tests results...
12/05/22-00:06|INFO   |preparing data for testing...
12/05/22-00:06|INFO   |creating docker container...
12/05/22-00:06|INFO   |running testsuite...
12/05/22-00:06|INFO   |getting results from tests...
12/05/22-00:06|INFO   |testing successfully done
12/05/22-00:07|INFO   |file 'scoring' saved
12/05/22-00:07|INFO   |*** testing student 'xkdqjw00' ***
12/05/22-00:07|INFO   |cleaning tests results...
12/05/22-00:07|INFO   |preparing data for testing...
12/05/22-00:07|INFO   |creating docker container...
12/05/22-00:07|INFO   |running testsuite...
12/05/22-00:07|INFO   |getting results from tests...
12/05/22-00:07|INFO   |testing successfully done
